Экономический кризис в России ( 1998 ),Не путать с экономическим термином Дефолт.Экономический кризис 1998 года в России был одним из самых тяжёлых экономических кризисов в истории
Дело Société Générale,"Жером Кервьель родился 11 января 1977 в Пон-л'Аббе в Бретани , Франция . Работал трейдером в инвестиционном банке Société Générale"
Акцептно-рамбурсный кредит,"Акцептно-рамбурсный кредит – одна из форм кредитования экспортно-импортных операций . Условия акцептно-рамбурсного кредита ( лимит кредита , срок кредита ,"
Финансовая доступность,Финансовая доступность — это предоставление доступа домохозяйствам и предприятиям в эффективном пользовании всем спектром финансовых услуг . Этот спектр включает
Квалифицированный инвестор,"Квалифицированный инвестор ( англ . qualified investor ) — физическое или юридическое лицо , которое признано способным осуществлять операции на"
Добавленная стоимость,"Доба́вленная сто́имость — это та часть стоимости продукта , которая создается в данной организации . Рассчитывается как разность между стоимостью"
Альфа-коэффициент,"Альфа-коэффициент ( альфа-фактор ) — показатель , рассчитываемый для ценной бумаги или портфеля ценных бумаг , связывающий доходность ценной бумаги"
Модель Альтмана,"Модель Альтмана ( коэффициент Альтмана , индекс Альтмана , формула Альтмана , Z-модель Альтмана , индекс кредитоспособности ) ( англ"
Амортизация,Амортиза́ция : Амортизация ( бухгалтерия ) — перенесение по частям стоимости основных средств и нематериальных активов по мере их физического
Аналитика,"Аналитика ( др.-греч . άναλυτικά — буквально : « искусство анализа » ) — часть искусства рассуждения — логики ,"
Годовая процентная доходность,"Годовая процентная доходность ( Annual Percentage Yield , APY ) — ставка дохода , вычисленная с учётом применения к депозитам"
Антихреза,"Антихрез или антихреза ( лат . antichresis ; от греч . : обмен ценностей ) — специфическая форма залога ,"
Букмекерская вилка,"Букмекерская вилка ( арбитражная ситуация , англ . arbitrage , англ . surebet ) — это возможность сделать ставки на"
Задолженность,"Задолженность — один из критериев оценки финансового состояния хозяйствующего субъекта , отражающего позицию данного субъекта в кредитных отношениях с финансовыми"
Азиатский опцион,"Азиатский опцион ( англ . asian option ) — разновидность опциона , при которой цена исполнения определяется на основе средней"
Аск ( цена ),"Аск ( англ . Ask ; также цена предложения ) — цена , которую продавец заявляет как цену согласия продать"
Актив ( бухгалтерия ),"Акти́в : часть бухгалтерского баланса ( левая сторона ) , отражающая состав и стоимость имущества организации на определённую дату ."
Защита активов,"Защита активов — мероприятия организационного , правового и информационного характера , призванные обеспечить сохранность активов ( недвижимого и движимого имущества"
Коэффициент оборота активов,"Коэффицие́нт оборо́та акти́вов ( англ . Assets turnover ratio ) , или ресурсоотдача — это показатель , который отражает эффективность"
Уставный капитал,"Уста́вный капитал — сумма , фиксированная в учредительных документах организации , прошедших государственную регистрацию . Отличается от суммы средств ,"
Банковский счёт,"Банковский счёт — счёт , открываемый банком юридическим или физическим лицам для их участия в безналичном денежном обороте и аккумулировании"
Несостоятельность,"Несостоя́тельность ( банкро́тство ) — признанная уполномоченным государственным органом неспособность должника ( гражданина , организации или государства ) удовлетворить в"
Бербоут-чартер,"Бербо́ут-ча́ртер ( англ . Bareboat charter , Demise charter ) — в торговом мореплавании договор фрахтования судна без экипажа ."
Прибыль на акцию,"При́быль на а́кцию ( англ . Earnings per share , EPS ) — финансовый показатель , равный отношению чистой прибыли"
Байт аль-мал,"Байт аль-мал ( араб . بيت المال‎ — дом имущества‎ ) — в исламе : казна , общественные финансы ,"
Поведенческая экономика,"Поведенческая экономика — направление экономических исследований , которое изучает влияние социальных , когнитивных и эмоциональных факторов на экономическое поведение ,"
Бенефиций,Бенефи́ций ( от лат . beneficium — благодеяние ) — ( 1 ) в Средние века условное срочное пожалование (
Бета-коэффициент,"Бета-коэффициент ( бета-фактор ) — показатель , рассчитываемый для ценной бумаги или портфеля ценных бумаг . Является мерой рыночного риска"
Бид,"Бид ( англ . Bid ; предлагаемая цена ) — цена спроса , наивысшая цена покупателя , по которой он"
Бинарный опцион,"Бина́рный опцио́н , также цифровой опцион , опцион « всё или ничего » , опцион с фиксированной прибылью — экзотический"
Рейтинг облигаций,В инвестировании рейтинг облигаций — это оценка кредитоспособности корпорации или государства . Рейтинг облигаций аналогичен кредитному рейтингу для физических лиц
Бодмерея,"Бодмере́я ( нем . Bodmerei ) — заём под залог судна , фрахта и груза , получаемый от их владельцев"
Бридж-кредит,"Бридж-креди́т , промежу́точный , или вспомога́тельный , кредит ( от англ . bridge — мост и loan — заём ,"
Маклер,"Ма́клер — торговый посредник . Как правило , маклер профессионально занимается посредничеством при покупке и продаже товаров , ценных бумаг"
Бюджет,"Бюдже́т ( от старонормандского bougette в знач . кошелёк , сумка , мешок с деньгами ) — схема доходов и"
Бюджетное ограничение,"Бюджетная прямая ( линия бюджетных ограничений , англ . Budget constraint ) — показывает различные комбинации двух благ , которые"
