Βελονισμός,Βελονισμός ( acupuncture ) ονομάζεται μια μέθοδος εναλλακτικής ιατρικής η οποία κατατάσσεται στις ψευδοεπιστήμες .
Οξεία κοιλία,"Οξεία κοιλία , είναι μία κλινική κατάσταση που απασχολεί κυρίως χειρουργούς ιατρούς στα τμήματα επιγόντων περιστατικών . Χαρακτηρίζεται από οξύ"
Εναλλακτική ιατρική,Ο όρος εναλλακτική ιατρική χρησιμοποιείται για να περιγράψει πρακτικές που δεν έχουν αποδείχτει μέσω της επιστημονικής μεθόδου . Οι πρακτικές
Αναισθησιολογία,Η αναισθησιολογία είναι ο κλάδος της ιατρικής που αποσκοπεί στην ανακούφιση από τον πόνο κατά τη διάρκεια μιας χειρουργικής επεμβάσεως
Απόπτωση,"Η απόπτωση είναι μια διεργασία προγραμματισμένου κυτταρικού θανάτου . Κατά τη διάρκεια της απόπτωσης το κύτταρο συρρικνώνεται , το ίδιο"
Αρωματοθεραπεία,"Η αρωματοθεραπεία είναι μια μέθοδος εναλλακτικής ιατρικής , στην οποία χρησιμοποιούνται αιθέρια έλαια φυτών ώστε να προκληθεί χαλάρωση και ανακούφιση"
Αυτοάνοσες ασθένειες,Ως αυτοάνοσες ασθένειες ( autoimmune diseases ) ορίζονται εκείνες οι ασθένειες που προκαλούνται από υπερβολική και λανθασμένη απόκριση του ανοσοποιητικού
Νεκροψία,Νεκροψία είναι η εξέταση πτώματος για την ανεύρεση και διαπίστωση των αιτιών του θανάτου καθώς και των συνθηκών υπό τις
Καλοήθης όγκος,"Καλοήθης όγκος ( ή και καλόηθες νεόπλασμα ) , είναι κυτταρική μάζα που δημιουργείται σε οποιαδήποτε περιοχή του ανθρώπινου οργανισμού"
Εγκεφαλικός θάνατος,"Επί διακοπής της καρδιακής λειτουργίας ( ανακοπή ) , από έμφραγμα του μυοκαρδίου , από μεγάλο φόβο , από έντονο"
Κυτταρικός θάνατος,Ο κυτταρικός θάνατος είναι το γεγονός όπου ένα βιολογικό κύτταρο σταματά να εκτελεί τις διεργασίες που είναι απαραίτητες για τη
Αποϊδρυματοποίηση,"Αποϊδρυματοποίηση ονομάζεται η μετακίνηση φιλοξενούμενων από ιδρυματικές δομές φιλοξενίας , σε κοινοτικές δομές και σε οικογένειες και η κατάργηση της"
Διαφορική διάγνωση,Διαφορική διάγνωση ( μερικές φορές συντέμνεται ΔΔ ) ή διαφοροδιάγνωση είναι η διαγνωστική διαδικασία μέσω της οποίας αποκλείουμε παθήσεις με
Ασθένεια,"Κάθε ζωντανός οργανισμός έχει συγκεκριμένα χαρακτηριστικά τα οποία διατηρεί , για παράδειγμα η θερμοκρασία του ανθρώπου διατηρείται στους 36,7 βαθμούς"
Ανακομιδή οστών,"Ανακομιδή οστών ονομάζεται η διαδικάσία εκταφής και η μεταφορά από τον τάφο , των οστών του νεκρού ύστερα από πλήρη"
Ηλεκτρονική συνταγογράφηση,"Ηλεκτρονική συνταγογράφηση ονομάζεται η μεθοδολογία σύνταξης , καταχώρησης , επεξεργασίας και φύλαξης , ιατρικών συνταγών με χρήση υπολογιστικών συστημάτων και"
Έμβλημα Κόκκινου Κρυστάλλου,Το έμβλημα του Κόκκινου Κρυστάλλου είναι το νέο ( τρίτο ) πολιτικά ( και θρησκευτικά ) ουδέτερο προστατευτικό έμβλημα που
