tecnologia afib,tecnologia afib  detta microlife afib technology è caratteristica sfigmomanometri è progettata rilevare controllare l'incidenza fibrillazione atriale pazienti tecnologia è
agopuntura,l'agopuntura 針刺t 针刺s zhēncìp cinese è medicina alternativa scientifica verificata uso dell'inserzione aghi specifici punti corpo umano promuovere salute benessere
addome acuto,addome acuto medicina intende quadro clinico localizzazione addominale caratterizzato acuzie intesa massima gravità intensità manifestazioni considerato espressione gravi complicazioni corso
compliance medicina,compliance termine inglese uso internazionale italiano reso acquiescenza è l'adesione paziente accurata consulenza medico terapia genere farmacologica igienica compliance arteriosa
aderenza medicina,aderenze raramente usata singolare aderenza briglia fasci tessuto fibroso formano tessuti organi articolazioni trauma intervento chirurgico aderenze possono considerate cicatrici
medicina estetica,medicina estetica è branca medica carattere internistico occupa migliorare qualità vive disagio inestetismo propone programma prevenzione terapia dell'invecchiamento cutaneo occupa
agenesia,agenesia greco privo gènesis nascita è termine usato medicina indicare l'assenza organo mancato sviluppo organo viene definito aplasia
agnosia,l'agnosia greco gnosis conoscere è disturbo percezione caratterizzato mancato riconoscimento oggetti suoni forme odori noti assenza disturbi memoria assenza lesioni
agonista,campo farmacologico biochimico è definita agonista sostanza grado legare specifico recettore sito legame ligando endogeno pone competizione suggerisce nome quest'ultimo
alltrials,alltrials è un'iniziativa chiede studi clinici trials registrati risultati trials passati futuri resi pubblici disponibili all'esame ricercatore forma completa sostenitori
medicina allopatica,medicina allopatica allopatia greco ἄλλος diverso πάθος sofferenza è termine originariamente coniato samuel hahnemann xix secolo esso fondatore dell'omeopatia intendeva
trattamenti alternativi contro il cancro,trattamenti alternativi cancro metodi trattamento alternativi accettati scienza medica privi prove efficacia clinicamente fondate proposti medicina alternativa presunto trattamento patologie
medicina alternativa,termine medicina alternativa riferimento variegato omogeneo sistema pratiche patologie esiste prova efficacia sottoposte verifica sperimentale è ravvisata l'inefficacia talune pericolosità
deambulatorio,deambulatorio noto ambulacro è corridoio coro all'abside caratteristico dell'architettura romanica francese dell'architettura sacra gotica esso è particolare collaterale circolare presenta
ambulatory glucose profile,l'ambulatory glucose profile agp è software avanzato riassume statisticamente dati standardizzati glicemia raccolti visualizza graficamente un'interfaccia user friendly pattern glicemici
posizione anatomica,termine posizione anatomica intende posizione base assunta idealmente animale impiegata fini descrittivi essa variare nell'aspetto seconda dell'animale preso considerazione prevede
sindrome da insensibilità agli androgeni,sindrome insensibilità androgeni ais  conosciuta passato sindrome morris femminilizzazione testicolare è sindrome determinata diverso percorso differenziazione sessuale corredo cromosomico
morsicatura,morsicatura morso è lesione provocata denti animale ferite morso possono comportare conseguenze gravi seconda tipologia dell'entità danno  danno tissutale
anorchidia,l'anorchidia definita anorchia anorchismo sindrome testicoli scomparsi è condizione  caratterizzata completa assenza tessuto testicolare è generalmente conseguenza intervento chirurgico
resistenza agli antibiotici,resistenza antibiotici antibiotico resistenza è fenomeno batterio risulta resistente all'attività farmaco antimicrobico
aplasia,aplasia greco a- privo plésein formare è termine indica mancato sviluppo tessuto organo termine viene usato maniera erronea indicare completa
apoptosi,biologia termine apoptosi coniato john f kerr andrew h wyllie a r currie partire termine greco indica caduta foglie petali
aromaterapia,l'aromaterapia considerata ramo fitoterapia usa oli essenziali sostanze volatili fortemente odoranti piante oli vengono estratti tramite distillazione corrente vapore raffreddato
malattia asintomatica,malattia asintomatica è malattia presenta alfa privativo sintomi solitamente alcune malattie possono mostrare sintomi paziente scopre esserne affetto esami routine
asistolia,termine asistolia indica l'assenza sistole cardiaca comporta blocco circolazione sanguigna situazione porta morte brevissimo paziente viene rianimato
atresia,l'atresia è malformazione congenita organo cavo caratterizzata dall'assenza pervietà canale orifizio normalmente aperti
aura medicina,l'aura medicina definisce sintomi tipo neurologico caratterizzati scotoma scintillante precedono attacco emicrania crisi epilettica causati un'onda depressione corticale
malattia autoimmune,malattia autoimmune medicina indica l'alterazione sistema immunitario dà origine risposte immuni anomale autoimmuni cioè dirette componenti dell'organismo umano grado determinare
disreflessia autonomica,sindrome disreflessia autonomica autonoma breve è patologia incontra lesione midollare completa sovente t6 è osservata lesioni t10
autopsia,l'autopsia chiamato esame post mortem è esame medico dettagliato attento corpo relativi organi persona morte stabilirne cause modalità eventualmente mezzi
sistema bethesda,sistema bethesda tbs the bethesda system è sistema compilazione standardizzata diagnosi citopatologia cervicale vaginale usato refertare risultati strisci pap test
biomedicina,biomedicina è branca scienza medica applica principi biologia scienze naturali pratica clinica biomedicina comporta studio processi patofisiologici metodi propri biologia
biostratinomia,biostratinomia è ramo paleontologia studia successione temporale eventi decomposizione disarticolazione bioerosione dissoluzione avvengono partire morte organismo seppellimento ambiente naturale possono
sindrome di bogart bacall,sindrome bogart bacall bbs è disturbo voce consiste disfonia dovuta affaticamento vocale
morte cerebrale,morte cerebrale è criterio ottenere diagnosi morte morte inizio cessazione irreversibile funzioni  cardiocircolatoria morte clinica respiratoria morte reale nervosa
morte cerebrale,morte cerebrale è criterio ottenere diagnosi morte morte inizio cessazione irreversibile funzioni  cardiocircolatoria morte clinica respiratoria morte reale nervosa
atrofia del seno,l'atrofia seno atrofia mammella ipotrofia mammaria è normale spontanea atrofia contrazione seni femminili
respirazione olotropica,respirazione olotropica è pratica alternativa priva riscontri scientifici sviluppata stanislav grof christina grof consentirebbe l'accesso ordinari coscienza termine olotropica proviene
cadavere,cadavere è corpo umano l'accertamento morte diversamente ragioni storiche religiose corpo animale morto è carcassa putrefazione carogna
spasmo cadaverico,spasmo cadaverico postmortem conosciuto rigidità istantanea catalettica è rara forma irrigidimento muscolare avviene morte persiste periodo rigor mortis scambiato quest'ultimo
calcolosi,calcolosi  litiasi s f gr λιϑίασις der
cardiotocografia,cardiotocografia ctg è esame diffuso ostetricia valutazione benessere feto ambito perinatale presenza frequenza entità contrazioni dell'utero madre parto
case report,medicina case report è rapporto dettagliato sintomi segni diagnosi trattamento follow up singolo pochi casi clinici case report possono contenere
eziologia medicina,medicina termine eziologia indica avvenimenti motivi variabili causali singola malattia patologia termine eziologia derivato lingua greca aitia causa logos parola
causa di morte,causa morte è malattia situazione avviato processo conclusosi morte persona causa morte è rilevata legge deceduto italia massima un'organizzazione sanitaria
pressione venosa centrale,pressione venosa centrale pvc intende valore pressorio espresso mm mercurio mmhg cm d'acqua cmh2o mmhg corrisponde cmh2o rilevato tratto terminale
catena del soccorso,catena soccorso è termine metaforico coniato dall'american heart association esprimere sintetico facilmente memorizzabile l'approccio universalmente riconosciuto gestione dell'arresto cardiaco sottolineando
chimera biologia,zoologia chimera è animale popolazioni differenti cellule geneticamente distinte originate diversi zigoti cellule differenti emergono zigote viene chiamato mosaico genetico
malattia cronica,malattia cronica è malattia presenta sintomi risolvono né giungono miglioramento definizione national commission on chronic illness croniche patologie caratterizzate lento
ipertrofia clitoridea,l'ipertrofia clitoridea definita clitoridomegalia è l'anomalo aumento volume tessuto clitoride conseguente aumento abnorme volume elementi cellulari costituiscono disturbo tipo congenito
estrusione fetale post mortem,l'estrusione fetale post mortem inglese coffin birth è fenomeno raro ambito medico consiste nell'espulsione feto solitamente l'apertura vaginale corpo decomposizione
politerapia,politerapia intende l'associazione agenti terapeutici farmaci trattamento patologia
complicanza medicina,complicanza complicazione medicina è un'evoluzione conseguenza sfavorevole malattia condizione salute terapia malattia peggiorare gravità mostrare numero maggiore segni sintomi diffusa
sterilizzazione obbligatoria,sterilizzazione obbligatoria conosciuta sterilizzazione forzata intendono programmi attuati politiche governative tentano costringere sottoporsi all'intervento chirurgico sterilizzazione metà xx secolo programmi
iperplasia surrenale congenita,l'iperplasia surrenale congenita è patologia ereditaria colpisce ghiandole surrenali nota sigla cah inglese congenital adrenal hyperplasia è malattia autosomica recessiva
educazione continua in medicina,educazione continua medicina ecm è programma attività formative attivo italia l'ecm prevede mantenimento elevato livello conoscenze relative teoria pratica comunicazione
controindicazione,controindicazione  medicina è condizione fattore aumenta rischio nell'usare particolare farmaco senso ampio terapia
convalescenza,convalescenza è periodo intermedio trascorre successivi intervento chirurgico malattia trauma fisico periodo è relativamente deboli particolarmente esposti rischio contagio malanni
convulsione,convulsione è violenta contrazione involontaria muscoli volontari provocano conseguenza permanente risveglio un'anestesia totale conseguenza normale
terapia craniosacrale,terapia craniosacrale è pratica medicina complementare facente tradizione osteopatica fondata all'inizio xx secolo william garner sutherland studente osteopatia studi ipotizzò
craving,termine craving tradotto letteralmente brama desiderio insaziabile indica desiderio incontrollabile assumere sostanza stupefacente particolare alimento desiderio irrefrenabile è accompagnato ricerca
