磨損作用 ( 牙科 ),磨損作用（abrasion），牙科上稱為牙磨損，指受外來元素形成的機械力（mechanical forces），導致牙齒結構脫落。外來元素包括牙刷、牙籤、牙線等。 == 參考文獻 ==
艾氏人体解剖学,艾氏人体解剖学（英语：Acland 's Video Atlas of Human Anatomy）是一部由路易斯维尔大学的罗伯特·阿克兰（Robert Acland）主持的解剖学视频课程。
针灸,針灸是針法和灸法的合体。中醫學中採用針刺或火灸人體穴位來治療疾病，是联合国教科文组织认定的人类非物质文化遗产代表作。根据中医学理论，通过刺激穴位可以改善经络中的气的流向。现代科学从组织学和生理学上尚未发现气、经络或者穴位的存在，且部分当代针灸使用者并非依据传统理论体系进行实践。因为缺乏足够的现代医学实验证实其疗效，针灸常在部分国家被视作替代疗法甚至伪科学。 科学研究显示针灸有缓解疼痛与术后恶心的效用。有人质疑针灸的效用极其微弱不足以建立临床关系，认为显示针灸有效果的研究结论可能是安慰剂效应、不完全双盲实验或发表偏倚的结果。
急性,急性（Acute）在醫學中指发作迅速持续时间可能也较短的病症。有时侯，急性与慢性用来区分不同的病，比如急性白血病和慢性白血病；有时候，急性用来强调发病突然，如急性心肌梗塞。
急性心包炎,急性心包炎（acute pericarditis）指的是各种原因引起的心包脏层和壁层的急性炎症。 “ 急性 ” 指的是持续时间不超过6个月。 由于心包脏层即为心外膜，所以，也可称为急性心外膜炎。心外膜的炎症时常波及其下的心肌，如果其下的心肌明显受累时，可称为心肌心包炎（myopericarditis）。同样，如果心包的炎症明显累及心脏周围组织，可以相应命名，如纵隔心包炎（medianstinopericarditis）。
沾黏,沾黏（英語：Adhesion）是組織或器官間所發生的纖維性組織，常見於手術區域。沾黏的纖維組織可以視為是體內的疤痕。 如同疤痕，沾黏是手術後人體修復過程中會發生的一種自然現象。造成沾黏的纖維組織常接連在兩組織間，並常跨過一段體腔空間，比如腹腔。這樣的「連結」可能不會造成任何影響，也可能造成兩端組織或器官發生扭結或拉扯，而影響該組織器官的正常生理運作，嚴重時會引起疼痛及併發疾病。
不良反应 ( 医学 ),不良反应（英文：adverse effect），在医学领域，又称为不良作用、不良影响、不良后果，是指一种有害的，人们所不希望出现的，由于某种药物或其他诸如化疗或手术之类的医療所造成的反应、效应、作用、效果、结果或影响。
失认症,失认症（英语：agnosia）是指由大脑受损而导致的认知障碍。患者在意识正常、无感觉障碍的情况下，对传入的感觉刺激缺乏认识能力，包括物体失认、相貌失认、听觉失认等。須注意的是，此種辨識障礙並非因感覺缺失 ( 如視野缺損，半側無知覺 ) 、智力退化、意識或注意力的異常，對該物體不熟悉而引起。而失認症通常只會在某項感覺模式缺損，因此無法透過一種感覺途徑 ( 如視覺 ) 辨識出的物體，可以透過另一種感覺途徑 ( 如觸覺 ) 來辨識。
激动剂,激动剂（或稱：刺激劑/促進劑/活化劑）（英语：agonist）是与受体结合並使之激活，产生生理反应的化合物。激动剂按来源分为内源激动剂和外源激动剂，按效能分为完全激动剂、超激动剂、部分激动剂、反激动剂等。
對抗療法,對抗療法是顺势疗法等替代疗法中对现代主流医学所使用的理論和治療方法的称呼，指采取針對疾病本身的成因直接對抗、移除，使用药物的活性药物成份或物理操作（手术）等方法治療疾病或伤势。 “ 对抗疗法 ” 一词首先由顺势疗法的创始人，塞缪尔·哈内曼在1810年提出。然而，主流医学界从未将这个术语作为正规的医学术语考虑。这个术语主要被各种替代疗法的使用者使用，描述主流医学的理论和疗法，具有一定的贬义性质。世界卫生组织非正式发表的一份论文显示，在替代医学的使用环境下， “ 对抗疗法 ” 可以用来指代大部分常用的医学手段，包括被称为 “ 西医 ” 、 “ 生物医学 ” 或 “ 现代医学 ”
