الجمعية الأمريكية لاختبار المواد,( بالإنجليزية : American Society for Testing and Materials ) واختصاراً ( ASTM ) أي الجمعية الأمريكية لاختبار المواد، وهي
سيتي النشيط,ميتي أو سيتي النشيط في علم الفلك ( بالإنجليزية : Active SETI أو METI ( Messaging to Extra-Terrestrial Intelligence )
نظرية شبكة الفواعل,نظرية شبكة الفواعل هي منهج في علم الاجتماع غرضها دراسة الوضعيات الاجتماعية ومبدؤها اعتبار العوامل من أشياء وأفكار وعمليات وغيرها
المحول الكهربيولجى,المحول الكهربيولوجى هو أول محول زيت مصنوع من بذور الخضروات، صُنِعَ وطُوِرَ في البرازيل بواسطة فاكلداد أسيس جورجاسز ( Faculdade
عصر التداخل,عصر التداخل هو مصطلح يشير إلى زيادة ظاهرية في تجزؤ الاهتمام بسبب الأدوات الإعلامية وتعدد المهام الظاهرية . وقد تم
صمام يدار بالهواء,الصمامات المدارة بالهواء ( بالإنجليزية : Air-operated valve ) هي نوع من الصمامات المعتمدة على الطاقة، ويعتمد هذا النوع على
عجيب,عجيب هو آلة ذاتية التشغيل ، لاعبة للشطرنج ، أنشأها تشارلز هوبر في المعهد الملكي للفنون التطبيقية في عام 1868
مشغل ألكوبيير,مشغل ألكوبيير أو مشغل ألكوبيير المعوج ( أو ألكوبيير المتري إشارة إلى الشادّة المترية ) ، هي فكرة تأملية مبنية
المعهد القومي الأمريكي للقياس,المعهد الوطني الأمريكي للمقَأيِس ( بالإنجليزية : The American National Standards Institute ) ويختصر بANSI، هو الجهة المسئولة عن إصدار
التكنولوجيا في مصر القديمة,ينظر إلى خصائص المصريون القدماء من قطعهم أثرية وعاداتهم التي استمرت لآلاف السنين.فقد اخترع المصريون القدماء آلات أساسية كثيرة، مثل
تكنولوجيا اليونان القديمة,ظهرت تكنولوجيا اليونان القديمة خلال القرن الخامس قبل الميلاد واستمرت حتى الحقبة الرومانية وما بعدها . شملت الاختراعات التي تُنسب
واجهة برمجة التطبيقات,واجهة لبرمجة التطبيقات أو بيئة برمجة التطبيقات ( بالإنجليزية : Application Programming Interface وتختصر إلى API ) وصفٌ العناصر البرمجيّة
فيزياء تطبيقية,الفيزياء التطبيقية مصطلح عام للفيزياء التي تتخصص للتطبيق في مجال عملي أو تقني معين . العلم التطبيقي يتميز عن العلم
تقنية معمارية,التقنية المعمارية أو تقنية البناء هي تطبيق التكنولوجيا لتصميم المباني . وهي عبارة عن دمج بين الهندسة المعمارية وهندسة البناء،
ذكاء اصطناعي,الذكاء الاصطناعي هو سلوك وخصائص معينة تتسم بها البرامج الحاسوبية تجعلها تحاكي القدرات الذهنية البشرية وأنماط عملها . من أهم
رحم اصطناعي,الرحم الاصطناعي ( بالإنجليزية : artificial womb ) هو تقنية حديثة تطمح إلى إنماء الأجنة البشرية معمليا في وجود وسط
جي بي إس مساعد,A-GPS اختصار Assisted GPS هو نظام يسرّع بداية تشغيل نظام تحديد المواقع المعتمد على الأقمار الصناعية ( بالإنجليزية : GPS
مؤشر الوجهة,مؤشر الوجهة ( بالإنجليزية : attitude indicator ) أو المؤشر الأفقي ( بالإنجليزية : gyro horizon ) أو الأفق الصناعي
نظام آزمث,نظام آزمث ( Azimuth Systems ) هي شركة خاصة تقع بالقرب من بوسطن، ماساشوستس.و منتجاتها الأساسية تشمل محاكاة القنوات اللاسلكية
لغة الترميز من الأعمال إلى التصنيع,لغة الترميز من الأعمال إلى التصنيع ( Business To Manufacturing Markup Language B2MML ) هي تطبيق للغة XML على متطلبات
لغة إنجليزية مبسطة,اللغة الإنجليزية المبسطة تسمى أيضا اللغة الإنجليزية الأساسية والمعروفه أيضا باسم الإنجليزية البسيطة، هي اللغة الإنجليزية القائمة على السيطرة في
خزان مرن,الخزان المرن ( القربة ) هو منتج يسمح لصهريج التخزين بتخزين العديد من أنواع السوائل . ويسمى أيضًا `` cisterna
