as4 schnittstelle,as4 b2b-schnittstelle austausch daten dokumenten handelspartnern entwickler kommunikationsstandards technische komitee kommunikationsdienste oasis organization for the advancement of structured information standards
astm international,astm international ursprünglich american society for testing and materials internationale standardisierungsorganisation sitz west conshohocken pennsylvania usa veröffentlicht technische standards dienstleistungen
accelerating change,futurologie bezeichnen accelerating change law of accelerating returns deutsch gesetz beschleunigenden nutzens zunehmen qualität quantität technischer errungenschaften erfindungen wissen gezählt
botschaften außerirdische,botschaften außerirdische verschiedene projekte bezeichnet ziel informationen erde natur menschheit aktiv bewusst gesteuert etwaigen außerirdischen zuzusenden bzw überlassen hierfür englischsprachigen
akteur-netzwerk-theorie,akteur-netzwerk-theorie ant englisch actor-network theory sozialwissenschaftliche schule 1980er bereich science and technology studies sts entwickelt bereichen soziologie benachbarter disziplinen etablieren
advanced distributed learning initiative,advanced distributed learning initiative adl organisation sitz alexandria virginia federführend bereich standardisierung e-learning-technologien adl veröffentlicht standardsammlung scorm konkurrierenden standard aicc
heronsball,heronsball äolsball aeolipile äolipile genannt heron alexandria beschriebene maschine expansionskraft wasserdampf rückstoßprinzip demonstriert aeolipile zuvor altägyptischen priestern heronsball schriftlich überlieferten
alliance ground surveillance,alliance ground surveillance ags programm nato aufbau fähigkeit gefechtsfeldaufklärung -überwachung nutzung unbemannter luftfahrzeuge typ rq-4d stationiert system italienischen militärflugplatz sigonella
american national standards institute,american national standards institute ansi private gemeinnützige amerikanische organisation koordinierung entwicklung freiwilliger normen vereinigten staaten sitz non-profit-organisation washington d.c jährliche
elektromotorischer verstärker,elektromotorischer verstärker emv hochleistungsverstärker aufgebaut kombination drehstrommotor modifizierten wechselspannungsgenerator elektromotorischen verstärker lasten elektrisch ferngesteuert bewegt ausgangsleistung elektromotorischen verstärkers mehrere kilowatt
drehratensensor,drehraten-sensoren messen rotationsgeschwindigkeit körpers drehratensensor gehört gruppe inertialsensoren
anti-atomkraft-bewegung,anti-atomkraft-bewegung bezeichnet weltweite soziale bewegungen zivilgesellschaftliche engagements atomausstieg nutzung kernenergie wenden
antiatombewegung australien,antiatombewegung australien jahrelange entwicklung zurückblicken nuklearwaffentests uranbergbau -export australiens zahlreichen zwischenfälle nutzung kernenergie häufig gegenstand öffentlicher debatten australien wurzeln anti-atom-bewegung
anti-atomkraft-bewegung deutschland,anti-atomkraft-bewegung deutschland 1970er entstandene soziale bewegung zivile nutzung kernenergie wendet europäischen vergleich zeichnet deutsche anti-atomkraft-bewegung stärke insbesondere kontinuität joachim radkau
anti-atomkraft-bewegung,anti-atomkraft-bewegung bezeichnet weltweite soziale bewegungen zivilgesellschaftliche engagements atomausstieg nutzung kernenergie wenden
programmierschnittstelle,programmierschnittstelle anwendungsschnittstelle genauer schnittstelle programmierung anwendungen häufig api genannt englisch application programming interface wörtlich anwendungs­programmier­schnittstelle programmteil softwaresystem programmen anbindung system
angewandte physik,angewandte physik steht unscharfer abgrenzung experimentalphysik teilweise theoretischen physik wesentliches kennzeichen gegebenes physikalisches phänomen willen erforscht hintergrund technischen interdisziplinären problems
arecibo-botschaft,arecibo-botschaft botschaft erde mögliche außerirdische form radiowellen-signals einmalig november 1:00 ast atlantic standard time ausgehend arecibo-observatorium gesendet weltweit zweitgrößten radioteleskop
künstliche intelligenz,künstliche intelligenz ki artifizielle intelligenz ai bzw a i englisch artificial intelligence ai teilgebiet informatik automatisierung intelligenten verhaltens maschinellen lernen
assisted global positioning system,assisted global positioning system a-gps dt unterstütztes globales positionierungssystem verfahren übermittlung hilfsdaten gps verschiedenes übertragungsnetz genaueren schnelleren gps-positionsbestimmung
künstlicher horizont,künstlicher horizont englisch artificial horizon gyro horizon attitude indicator ersetzt natürlichen horizont sichtbar raumlage gemessen künstliche horizonte benötigt  luftfahrt
automatic identification system,begriff automatic identification system ais deutsch automatisches identifikationssystem universal automatic identification system uais bezeichnet funksystem austausch navigations- schiffsdaten sicherheit lenkung
aviation industry cbt committee,aviation industry cbt committee aicc gremium amerikanischen luftfahrtindustrie richtlinien entwicklung verbreitung evaluation e-learning-angeboten entwickelte gremium sogenannten cmi-richtlinien computer managed instruction
spurweite kraftfahrzeugtechnik,spurweite spurbreite bezeichnet kraftfahrzeugtechnik abstand radaufstandspunkten achse ansicht hinten entspricht projektion y-z-ebene fahrzeugfesten koordinatensystems doppelbereifung jeweils mitte zwillingsbereifung gemessen spurweite
business to manufacturing markup language,business to manufacturing markup language b2mml xml-implementierung ansi/isa standard-familie isa-95 international bezeichnung iso/iec b2mml besteht satz definitionen isa-95 datentypen form
bandbremse,bandbremse mechanische reibungsbremse gegensatz backenbremse band trommel geschlungen bremswirkung entsteht reibung trommel band unterscheidet  außenbandbremse bremsband außen bremstrommel geschlungen
