ASTM International,H ASTM International γνωστή ως το 2001 ως American Society for Testing and Material ( Αμερικανική Εταιρεία Δοκιμών και Υλικών
Αμερικανικό Εθνικό Ίδρυμα Προτυποποίησης,"Το Αμερικανικό Εθνικό Ίδρυμα Προτυποποίησης ( αγγλικά : American National Standards Institute , ANSI ) ιδρύθηκε τον Οκτώβριο του 1918"
Αρχαία ελληνική τεχνολογία,Ως αρχαία ελληνική τεχνολογία ή αρχαιοελληνική μηχανική αναφέρονται τα διάφορα τεχνολογικά έργα και οι τεχνολογικές καινοτομίες οι οποίες επινοήθηκαν στις
Διεπαφή προγραμματισμού εφαρμογών,"H Διεπαφή Προγραμματισμού Εφαρμογών ( αγγλ . API , από το Application Programming Interface ) , γνωστή και ως Διασύνδεση"
Εφαρμοσμένη φυσική,Ως εφαρμοσμένη φυσική ορίζεται ο κλάδος της φυσικής επιστήμης ο οποίος ασχολείται με την ανάπτυξη συγκεκριμένων τεχνολογικών ή πρακτικών εφαρμογών
Μήνυμα του Αρεσίμπο,Το μήνυμα του Αρεσίμπο είναι ραδιοσήμα το οποίο εκπέμφθηκε από το παρατηρητήριο του Αρεσίμπο με κατεύθυνση το διάστημα το 1974
Τεχνητή νοημοσύνη,Ο όρος τεχνητή νοημοσύνη αναφέρεται στον κλάδο της πληροφορικής ο οποίος ασχολείται με τη σχεδίαση και την υλοποίηση υπολογιστικών συστημάτων
Αυτόματο Σύστημα Αναγνώρισης,"Το Αυτόματο Σύστημα Αναγνωρίσεως , ευρύτερα γνωστό ως σύστημα AIS , ( αγγλικά : Automatic Identification System - AIS )"
Ρίτσαρντ Μπάκμινστερ Φούλερ,"Ο Ρίτσαρντ Μπάκμινστερ Φούλερ ( Richard Buckminster `` Bucky '' Fuller , 12 Ιουλίου 1895 - 1 Ιουλίου 1983 )"
Άμαξα,"Η άμαξα είναι ένα όχημα με ρόδες , που έλκεται από ένα ή περισσότερα ζώα και χρησιμεύει για τη μεταφορά"
Καταπέλτης,"Ο Καταπέλτης ήταν μία περίφημη αρχαία πολεμική μηχανή με την οποία εκσφενδονίζονταν , αρχικώς , βέλη και , αργότερα ,"
Δημοσιογραφία των πολιτών,"Δημοσιογραφία των πολιτών ή συμμετοχική δημοσιογραφία είναι η δημοσιογραφία που ασκείται από κάθε πολίτη , που δεν είναι επαγγελματίας δημοσιογράφος"
Σύγκριση των μέσων εγγραφής,Αυτό το άρθρο αναλύει λεπτομερώς τη σύγκριση των μέσων εγγραφής ήχου .
Ηλεκτρονικός υπολογιστής,Ο ηλεκτρονικός υπολογιστής ( συντ . Η/Υ ) είναι μια μηχανή κατασκευασμένη κυρίως από ψηφιακά ηλεκτρονικά κυκλώματα και δευτερευόντως από
