evenings theatre and engineering,evenings theatre and engineering serie performances presentadas octubre artistas ingenieros laboratorios bell murray hill jersey colaboraron seria evento serie proyectos
alto xml,alto analized layout and text object esquema xml usado almacenar información forma electrónica detalla metadatos técnicos describir diseño gráfico texto
astm,american society for testing and materials astm international organización normas internacionales desarrolla publica acuerdos voluntarios normas técnicas amplia gama materiales
ley rendimientos acelerados,futurología historia tecnología cambio acelerado incremento tasa progreso tecnológico social cultural historia producir cambios rápidos profundos futuro desarrollada ley estrechamente
across the universe mensaje interestelar,across the universe mensaje interestelar radio consiste canción across the universe beatles transmitido febrero 00:00 utc nasa dirección estrella polaris.[1]​
teoría actor red,teoría actor red conocida ant sigla inglés actor network theory sociología traducción ontología actante rizoma enfoque sociológico característico teoría social
advanced distributed learning,adl advanced distributed learning iniciativa departamento defensa dod unidos implementar desarrollar herramientas tecnologías aprendizaje creada auspicio oficina subsecretario defensa personal
eolípila,eolípila máquina constituida cámara aire generalmente esfera cilindro tubos curvos expulsado vapor fuerza resultante expulsión mecanismo comience girar  ley
ajeeb,ajeeb 1]​ autómata ajedrez creado charles hooper ebanista)[2]​ presentado royal polytechnic institute particularmente intrigante pieza fraudulenta tecnología mecánica presentado totalmente
métrica alcubierre,métrica alcubierre idea especulativa basada modelo matemático supondría posibles viajes velocidades mayores velocidad luz superlumínicos efectuando trucos espacio alcubierre plantea
instituto nacional estadounidense estándares,instituto nacional estadounidense estándares conocido ansi siglas inglés american national standards institute organización fines lucro supervisa desarrollo estándares productos servicios
tecnología antiguo egipto,tecnología antiguo egipto caracterizó evolución lenta duró miles años egipcios inventaron utilizaron máquinas básicas rampa palanca ayuda construcciones papel egipcio
tecnología antigua grecia,tecnología antigua grecia desarrolló siglo ac periodo romano allá invenciones acreditan antiguos griegos incluyen engranaje tornillo molinos giratorios prensa eje
tecnología antigua,concepto tecnología antigua comúnmente referirse tecnologías artefactos herramientas originadas antigüedad entendida período histórico edad antigua usadas satisfacer necesidades hombre fuego
movimiento antinuclear,movimiento antinuclear respuesta organizativa reúne personas organizaciones partidos políticos compromiso expreso antinuclear ecologista movimiento surge respuesta peligrosidad desarrollo expansión civil
movimiento antinuclear,movimiento antinuclear respuesta organizativa reúne personas organizaciones partidos políticos compromiso expreso antinuclear ecologista movimiento surge respuesta peligrosidad desarrollo expansión civil
apple watch series,apple watch serie corresponde tercer modelo generación apple watch lanzado septiembre
interfaz programación aplicaciones,"interfaz programación  aplicaciones conocida sigla api inglés application programming interface,[1]​ conjunto subrutinas funciones procedimientos métodos programación orientada objetos ofrece"
física aplicada,física aplicada término genérico indica física interesa particularmente tecnologías aplicada distingue pura sutil combinación factores motivación investigación relación tecnología ciencia
mensaje arecibo,mensaje arecibo mensaje radio enviado espacio radiotelescopio arecibo noviembre conmemorar remodelación radiotelescopio mensaje longitud bits enviado dirección cúmulo estrellas cúmulo
inteligencia artificial fuerte,inteligencia artificial fuerte inteligencia artificial iguala excede inteligencia humana promedio inteligencia máquina éxito tarea intelectual humano objetivo importante investigación inteligencia
inteligencia artificial,inteligencia artificial ia inteligencia llevado cabo máquinas ciencias computación máquina inteligente ideal agente  flexible percibe entorno cabo acciones maximicen
útero artificial,útero artificial dispositivo permitiría embarazo externo crecimiento feto cuerpo organismo normalmente llevaría embarazo término útero artificial tendría numerosas aplicaciones servir
askmenow,askmenow inc empresa pública estadounidense especializado búsqueda móvil publicidad móvil compañía oficial sede irvine california lanzó noviembre sitio vivo ofrecimiento
gps asistido,sistema posicionamiento global asistido conocido gps asistido sistema ubicación teléfonos dispositivos móviles satélite gps agps desarrollado introducido mejorar funcionamiento gps
astra taylor,astra taylor nacida directora estadounidense cine documental escritora activista músico.[1]​ socia  fundación shuttleworth combatir prácticas predatorias torno deuda
indicador actitud,indicador actitud ia conocido horizonte artificial instrumento vuelo muestra orientación aeronave horizonte rápidamente ángulo alabeo cabeceo gracias instrumento volar condiciones
leyes augustine,leyes augustine formuladas norman r augustine complejidad peso precio cazas iría aumentando progresivamente convertirlos inasequibles único aparato fuese capaz servir
sistema identificación automática,ais corresponde siglas anglosajonas automatic identification system español sistema identificación automática pudiéndose encontrar sia objetivo fundamental sistema ais permitir buques
aviation industry computer based training committee,aicc aviation industry computer based training committee asociación internacional capacitación profesionales basada tecnología aicc desarrolla especificaciones industria aviación desarrollo entrega
vía automoción,vía sudamérica trocha representa distancia ruedas eje tomada plano central exterior interior aprecie simple vista vías delanteras traseras automóvil iguales
freno cinta,freno cinta freno primario secundario consta banda material fricción aprieta concéntricamente pieza cilíndrica equipamiento impidiendo dificultando rotación efecto estático 
cadena bloques mecánica,cadena bloques llamada cadena bloque barra inglés bar link chain tipo cadena transmisión mecánica compone placas laterales extienden lados bloque
inglés básico,inglés básico basic english lengua controlada construida basada simplificación vocabulario gramática lengua inglesa natural idioma basado vocabulario palabras seleccionado charles
calentador cama,calentador cama utensilio utilizaba casas calentar camas calentador consistía recipiente tapa mango deslizaba sábanas camas difusión sistemas calefacción hogares habitaciones
berkman klein center for internet society,berkman klein center for internet society centro investigación universidad harvard centra estudio ciberespacio fundado facultad derecho harvard institución centrado tradicionalmente
biofacto,concepto biofacto consiste unión palabras bios griego vida artefacto refiere artefacto originariamente biológico
cisterna flexible,cisterna flexible almacenamiento flexible tipo líquidos llamada aljibe flexible bladder tank inglés cisterna flexible autoportante necesita tipo soporte mantenerse estable
bleeding edge technology,bleeding edge technology refiere tecnología novedosa riesgo fiable incurrir costo usarla.[1]​ término bleeding edge forma alusión leading edge sinónimo cutting
cerebro cubeta,experimento cerebro cubeta experimento mental pretende arrojar luz punto vista filosofía características idea conocimiento realidad mente cerebro funcionamiento significados experimento
control mental,control mental técnica conjunto técnicas encaminadas modificación procesos mentales individuos emplearse persona personas ajenas fines diversos superación habilidades mentales dominio
bricolaje,bricolaje  actividad manual realiza persona aficionada recurrir servicios profesional creación mejora mantenimiento reparación especialidades albañilería carpintería electricidad fontanería etc.[1]​
richard buckminster fuller,richard buckminster bucky fuller milton julio ángeles julio diseñador arquitecto visionario inventor estadounidense profesor universidad sur illinois carbondale prolífico escritor
