acp125,l’acp-125 allied communications publication communication instructions radiotelephone procedures è manuale nato telecomunicazioni specificato interno l'obiettivo manuale è formalizzare procedure fonia
astm international,astm international è organismo normazione statunitense acronimo american society for testing and materials international
legge ritorni acceleranti,legge ritorni acceleranti è legge futurologia tasso progresso tecnologico è funzione esponenziale lineare legge dà omonimo saggio raymond kurzweil l'assunto
seti attivo,seti attivo è progetto facente ampio programma mondiale seti occupa attivamente inviare messaggi radio fisicamente sonde spaziali sistema solare destinarli
teoria actor network,teoria actor network ant italiano teoria dell'attore rete è modello teorico sviluppato sociologi francesi bruno latour michel callon dall'antropologo britannico
eolipila,eolipila greco antico αἴολος latino pila traducibile sfera eolo motore erone è termine è noto dispositivo ritenuto l'antenato motore getto
ajeeb,ajeeb è automa scacchistico fraudolento creato costruttore mobili charles hooper presentato royal polytechnical institute parola ajeeb è termine urdu significa
american national standards institute,l'american national standards institute istituto americano normalizzazione noto ansi pronuncia ipa ˈænsiː è un'organizzazione privata fini lucro definisce norme industriali
movimento anti nucleare,movimento anti nucleare è movimento sociale internazionale oppone all'uso tecnologie nucleari molte organizzazioni base gruppi professionisti partiti politici identificati movimento
movimento anti nucleare,movimento anti nucleare è movimento sociale internazionale oppone all'uso tecnologie nucleari molte organizzazioni base gruppi professionisti partiti politici identificati movimento
apple watch series,apple watch series pubblicizzato  watch series è successore diretto apple watch series dell'apple watch generazione chiamato apple watch series
apple watch series,apple watch series pubblicizzato  watch series è successore diretto apple watch series l'orologio apple è presentato keynote settembre tenutesi
application programming interface,informatica entro programma application programming interface api indica procedure genere raggruppate strumenti specifici atte all'espletamento dato compito termine designa librerie
fisica applicata,fisica applicata è termine generico indica fisica interessa particolari utilizzi tecnologici applicata distingue pura sottile combinazione fattori motivazioni modalità ricerca
tecnologia dell'architettura,tecnologia dell'architettura è settore scientifico disciplinare ssd icar12 istituito italia nell'ambito sistema istruzione universitaria
messaggio arecibo,messaggio arecibo è messaggio radio trasmesso spazio radiotelescopio arecibo porto rico novembre è indirizzato l'ammasso globulare ercole m13 luce distanza
intelligenza artificiale forte,filosofia dell'intelligenza artificiale l'intelligenza artificiale forte è l'idea opportune forme intelligenza artificiale possano veramente ragionare risolvere problemi l'intelligenza artificiale forte
